hour,LivingRoom,Bedroom,Kitchen,Bathroom,OutsideDoor,DiningRoom
0,11012,31751,4524,12414,1013,580
1,2047,9493,684,2497,264,86
2,194,4644,104,814,34,8
3,298,5334,76,1576,56,0
4,978,5289,380,1464,168,26
5,1942,5563,2202,2456,280,118
6,5960,5739,5707,2507,936,298
7,13408,9944,16755,8180,2016,780
8,24993,13926,26763,13079,2418,1296
9,29991,17535,36553,21463,1623,1430
10,30627,24271,26100,24712,1643,1790
11,32453,30692,16208,31711,2861,2312
12,29953,22839,16470,25631,3497,2487
13,24718,12617,22018,13155,3567,2189
14,24285,8974,17443,7272,3540,2030
15,21674,8606,12937,6915,3433,1722
16,21928,6391,11451,6567,2477,1553
17,26320,8676,11055,9750,4296,1545
18,11053,1261,9005,1520,1320,582
19,21631,3201,7851,4092,2329,958
20,20171,4987,6520,2594,712,937
21,21646,16840,10092,5363,868,842
22,21453,7099,9377,3274,609,773
23,24578,26470,12240,12508,1461,996
