window_start,sensor_name,observed_events,expected_events,low_alert_threshold,high_alert_threshold,deviation_events,deviation_score,history_windows,alert
2013-05-13 11:00:00,Bedroom,1785.0,4.0,0.0,676.13,1781.0,300.317,372,HIGH_DEVIATION
2012-09-12 11:00:00,Bedroom,1526.0,4.0,0.0,676.13,1522.0,256.644,372,HIGH_DEVIATION
2012-07-29 21:00:00,Bedroom,1486.0,0.0,0.0,867.99,1486.0,1486.0,372,HIGH_DEVIATION
2013-07-02 08:00:00,Bedroom,1483.0,4.0,0.0,302.87,1479.0,249.393,372,HIGH_DEVIATION
2012-09-12 21:00:00,Bedroom,1434.0,0.0,0.0,867.99,1434.0,1434.0,372,HIGH_DEVIATION
2012-07-28 15:00:00,Bedroom,1127.0,0.0,0.0,758.61,1127.0,1127.0,372,HIGH_DEVIATION
2012-09-07 10:00:00,Bedroom,1078.0,0.0,0.0,602.52,1078.0,1078.0,372,HIGH_DEVIATION
2012-07-28 20:00:00,Bedroom,1066.0,0.0,0.0,369.51,1066.0,1066.0,372,HIGH_DEVIATION
2012-08-15 09:00:00,Bedroom,1062.0,2.0,0.0,609.795,1060.0,357.48,372,HIGH_DEVIATION
2012-09-17 12:00:00,Bedroom,1040.0,2.0,0.0,591.525,1038.0,350.061,372,HIGH_DEVIATION
2012-08-15 10:00:00,Bedroom,924.0,0.0,0.0,602.52,924.0,924.0,372,HIGH_DEVIATION
2012-07-20 11:00:00,LivingRoom,976.0,76.0,0.0,465.73,900.0,15.176,372,HIGH_DEVIATION
2012-09-06 11:00:00,Kitchen,839.0,2.0,0.0,445.18,837.0,282.274,372,HIGH_DEVIATION
2012-11-20 12:00:00,Kitchen,790.0,2.0,0.0,462.64,788.0,265.749,372,HIGH_DEVIATION
2012-12-24 13:00:00,Bathroom,776.0,0.0,0.0,343.45,776.0,776.0,372,HIGH_DEVIATION
2012-10-06 15:00:00,Bedroom,774.0,0.0,0.0,758.61,774.0,774.0,372,HIGH_DEVIATION
2012-09-07 09:00:00,Bedroom,756.0,2.0,0.0,609.795,754.0,254.283,372,HIGH_DEVIATION
2013-01-13 13:00:00,Bedroom,728.0,0.0,0.0,459.4,728.0,728.0,372,HIGH_DEVIATION
2013-04-30 17:00:00,Bedroom,716.0,2.0,0.0,452.1,714.0,240.793,372,HIGH_DEVIATION
2012-09-04 13:00:00,Kitchen,710.0,4.0,0.0,540.58,706.0,119.048,372,HIGH_DEVIATION
2012-11-20 11:00:00,Kitchen,688.0,2.0,0.0,445.18,686.0,231.35,372,HIGH_DEVIATION
2013-02-08 12:00:00,Bedroom,630.0,2.0,0.0,591.525,628.0,211.79,372,HIGH_DEVIATION
2012-11-28 22:00:00,Bedroom,626.0,0.0,0.0,494.595,626.0,626.0,372,HIGH_DEVIATION
2012-10-04 11:00:00,LivingRoom,700.0,76.0,0.0,465.73,624.0,10.522,372,HIGH_DEVIATION
2013-07-02 07:00:00,Bedroom,627.0,4.0,0.0,252.29,623.0,105.052,372,HIGH_DEVIATION
2012-12-20 06:00:00,Kitchen,618.0,0.0,0.0,401.8,618.0,618.0,372,HIGH_DEVIATION
2013-05-20 17:00:00,Bedroom,606.0,2.0,0.0,452.1,604.0,203.696,372,HIGH_DEVIATION
2012-12-31 14:00:00,Kitchen,596.0,2.0,0.0,481.74,594.0,200.324,372,HIGH_DEVIATION
2012-12-03 23:00:00,Bedroom,592.0,4.0,0.0,432.175,588.0,99.15,372,HIGH_DEVIATION
2013-01-12 13:00:00,Bedroom,562.0,0.0,0.0,459.4,562.0,562.0,372,HIGH_DEVIATION
2012-11-02 05:00:00,Kitchen,560.0,0.0,0.0,190.99,560.0,560.0,372,HIGH_DEVIATION
2013-07-14 09:00:00,Kitchen,602.0,46.0,0.0,477.485,556.0,8.153,372,HIGH_DEVIATION
2012-10-28 12:00:00,LivingRoom,614.0,70.0,0.0,465.31,544.0,9.173,372,HIGH_DEVIATION
2012-07-28 14:00:00,Bedroom,543.0,0.0,0.0,474.58,543.0,543.0,372,HIGH_DEVIATION
2013-03-24 13:00:00,Kitchen,544.0,4.0,0.0,540.58,540.0,91.056,372,HIGH_DEVIATION
2013-04-28 00:00:00,Bedroom,580.0,42.0,0.0,475.25,538.0,8.64,372,HIGH_DEVIATION
2013-05-03 10:00:00,Kitchen,554.0,17.0,0.0,489.77,537.0,21.306,372,HIGH_DEVIATION
2013-01-13 09:00:00,Kitchen,557.0,46.0,0.0,477.485,511.0,7.493,372,HIGH_DEVIATION
2012-07-28 16:00:00,Bedroom,506.0,0.0,0.0,379.19,506.0,506.0,372,HIGH_DEVIATION
2013-04-28 22:00:00,Bedroom,504.0,0.0,0.0,494.595,504.0,504.0,372,HIGH_DEVIATION
2013-05-31 18:00:00,Kitchen,504.0,0.0,0.0,387.57,504.0,504.0,372,HIGH_DEVIATION
2012-09-15 17:00:00,Kitchen,498.0,0.0,0.0,355.395,498.0,498.0,372,HIGH_DEVIATION
2013-06-30 10:00:00,Kitchen,512.0,17.0,0.0,489.77,495.0,19.64,372,HIGH_DEVIATION
2013-04-21 14:00:00,Kitchen,492.0,2.0,0.0,481.74,490.0,165.25,372,HIGH_DEVIATION
2013-06-24 12:00:00,Kitchen,490.0,2.0,0.0,462.64,488.0,164.576,372,HIGH_DEVIATION
2013-01-15 07:00:00,Kitchen,486.0,2.0,0.0,385.45,484.0,163.227,372,HIGH_DEVIATION
2012-09-29 14:00:00,Bedroom,478.0,0.0,0.0,474.58,478.0,478.0,372,HIGH_DEVIATION
2013-07-17 21:00:00,Kitchen,478.0,0.0,0.0,318.03,478.0,478.0,372,HIGH_DEVIATION
2013-01-20 00:00:00,Bedroom,518.0,42.0,0.0,475.25,476.0,7.644,372,HIGH_DEVIATION
2012-11-24 12:00:00,LivingRoom,532.0,70.0,0.0,465.31,462.0,7.79,372,HIGH_DEVIATION
2013-05-29 18:00:00,Kitchen,444.0,0.0,0.0,387.57,444.0,444.0,372,HIGH_DEVIATION
2012-12-02 23:00:00,Bedroom,445.0,4.0,0.0,432.175,441.0,74.363,372,HIGH_DEVIATION
2012-08-30 06:00:00,Kitchen,436.0,0.0,0.0,401.8,436.0,436.0,372,HIGH_DEVIATION
2013-02-16 19:00:00,Kitchen,434.0,0.0,0.0,348.175,434.0,434.0,372,HIGH_DEVIATION
2012-12-31 16:00:00,Kitchen,426.0,0.0,0.0,305.83,426.0,426.0,372,HIGH_DEVIATION
2012-10-06 17:00:00,LivingRoom,484.0,60.0,0.0,265.98,424.0,10.214,372,HIGH_DEVIATION
2012-10-06 14:00:00,LivingRoom,474.0,54.0,0.0,313.525,420.0,7.455,372,HIGH_DEVIATION
2012-11-10 20:00:00,Bedroom,402.0,0.0,0.0,369.51,402.0,402.0,372,HIGH_DEVIATION
2012-11-20 20:00:00,Kitchen,402.0,0.0,0.0,325.25,402.0,402.0,372,HIGH_DEVIATION
2013-07-16 17:00:00,Kitchen,399.0,0.0,0.0,355.395,399.0,399.0,372,HIGH_DEVIATION
2013-04-20 16:00:00,Bedroom,398.0,0.0,0.0,379.19,398.0,398.0,372,HIGH_DEVIATION
2013-04-01 07:00:00,Kitchen,394.0,2.0,0.0,385.45,392.0,132.2,372,HIGH_DEVIATION
2013-03-31 09:00:00,Bathroom,408.0,20.0,0.0,363.8,388.0,13.085,372,HIGH_DEVIATION
